accident_id,county,date,time,latitude,longitude,severity,casualties,vehicles_involved,road_type,lighting,datetime,hour,day_of_week,month,is_weekend,is_rush_hour,accident_severity_index,temperature_mean,precipitation_sum,windspeed_max,population,traffic_index,rain_flag,wind_flag,weather_impact_score,accidents_per_100k_proxy
ACC-000025,Cork,2025-12-01,07:07:00,51.88922965924501,-8.531275408933656,2,2,4,Urban,Daylight,2025-12-01 07:07:00,7,Monday,12,False,1,2.4000000000000004,8.3,10.7,24.9,584000,0.72,1,0,5.986999999999999,0.2945205479452055
ACC-000026,Limerick,2025-07-09,02:43:00,52.7764106766769,-8.694959468044706,1,1,4,Rural,Daylight,2025-07-09 02:43:00,2,Wednesday,7,False,0,1.6,16.1,0.6,13.7,210000,0.5,0,0,0.681,0.7142857142857142
ACC-000027,Kilkenny,2025-07-16,00:39:00,52.52526265821568,-7.257813273643592,1,0,1,Rural,Darkness,2025-07-16 00:39:00,0,Wednesday,7,False,0,0.75,14.2,2.6,15.7,103000,0.4,1,0,1.641,1.3592233009708736
ACC-000028,Limerick,2023-11-14,09:07:00,52.55833629651861,-8.744063619631278,2,2,3,Urban,Daylight,2023-11-14 09:07:00,9,Tuesday,11,False,1,2.2,9.6,6.3,22.8,210000,0.5,1,0,3.619,0.7142857142857142
ACC-000029,Waterford,2025-07-09,19:57:00,52.27979333305643,-6.971804188447552,1,0,2,Urban,Daylight,2025-07-09 19:57:00,19,Wednesday,7,False,0,0.9500000000000001,16.8,0.0,16.0,127000,0.44,0,0,0.48,1.1338582677165354
ACC-000030,Kerry,2024-10-17,03:09:00,52.14020957536152,-9.588210999200715,1,0,1,Urban,Daylight,2024-10-17 03:09:00,3,Thursday,10,False,0,0.75,12.3,1.0,17.1,156000,0.42,0,0,0.9630000000000001,0.9102564102564101
ACC-000031,Galway,2024-07-19,16:48:00,53.27070506358548,-9.11452464268343,2,2,3,Urban,Daylight,2024-07-19 16:48:00,16,Friday,7,False,1,2.2,15.3,9.4,22.7,292000,0.55,1,0,4.9110000000000005,0.5308219178082193
ACC-000032,Dublin,2023-09-07,05:38:00,53.283055311681,-6.165008563752891,1,1,1,Urban,Darkness,2023-09-07 05:38:00,5,Thursday,9,False,0,1.0,18.8,4.5,13.7,1453000,1.0,1,0,2.436,0.13764624913971094
ACC-000033,Dublin,2025-07-05,20:48:00,53.3656230322614,-6.2561026561315005,3,1,1,Rural,Daylight,2025-07-05 20:48:00,20,Saturday,7,True,0,2.1,17.8,0.3,29.6,1453000,1.0,0,1,1.0230000000000001,0.13764624913971094
ACC-000034,Galway,2023-12-20,12:58:00,53.28129074528235,-9.033120480825032,2,0,2,Urban,Daylight,2023-12-20 12:58:00,12,Wednesday,12,False,0,1.5,10.5,1.8,29.9,292000,0.55,1,1,1.7069999999999999,0.5308219178082193
ACC-000035,Cork,2024-10-23,05:20:00,51.89482053925027,-8.559831880856317,1,2,2,Urban,Darkness,2024-10-23 05:20:00,5,Wednesday,10,False,0,1.4500000000000002,10.7,1.7,25.2,584000,0.72,1,1,1.521,0.2945205479452055
ACC-000036,Kerry,2025-07-24,11:46:00,52.1808395895243,-9.500660945856236,1,1,3,Urban,Daylight,2025-07-24 11:46:00,11,Thursday,7,False,0,1.4000000000000001,15.6,0.0,14.8,156000,0.42,0,0,0.444,0.9102564102564101
ACC-000037,Dublin,2023-07-13,17:02:00,53.42007482560804,-6.200230480901499,1,1,3,Rural,Daylight,2023-07-13 17:02:00,17,Thursday,7,False,1,1.4000000000000001,15.2,0.5,10.8,1453000,1.0,0,0,0.549,0.13764624913971094
ACC-000038,Kerry,2025-03-03,03:57:00,52.19275202865386,-9.6228144342863,3,1,3,Motorway,Daylight,2025-03-03 03:57:00,3,Monday,3,False,0,2.5,6.0,0.0,12.2,156000,0.42,0,0,1.366,0.9102564102564101
ACC-000039,Galway,2023-02-24,02:31:00,53.30722568833347,-9.240103160687848,2,0,3,Urban,Darkness,2023-02-24 02:31:00,2,Friday,2,False,0,1.7000000000000002,7.9,0.1,20.9,292000,0.55,0,0,1.1969999999999998,0.5308219178082193
ACC-000040,Kilkenny,2024-07-20,11:14:00,52.55920433603277,-7.126724076155719,2,1,2,Rural,Daylight,2024-07-20 11:14:00,11,Saturday,7,True,0,1.75,15.3,0.4,18.8,103000,0.4,0,0,0.7440000000000001,1.3592233009708736
ACC-000041,Waterford,2023-08-17,16:43:00,52.275520594356905,-7.17916762117915,2,1,3,Urban,Daylight,2023-08-17 16:43:00,16,Thursday,8,False,1,1.9500000000000002,16.5,0.4,20.9,127000,0.44,0,0,0.8069999999999999,1.1338582677165354
ACC-000042,Dublin,2023-04-05,22:33:00,53.30518470627125,-6.326080001383225,2,1,3,Rural,Daylight,2023-04-05 22:33:00,22,Wednesday,4,False,0,1.9500000000000002,11.6,6.0,16.4,1453000,1.0,1,0,3.192,0.13764624913971094
ACC-000043,Cork,2024-12-14,23:00:00,52.03815918602076,-8.492012935109283,4,3,2,Urban,Daylight,2024-12-14 23:00:00,23,Saturday,12,True,0,3.35,6.3,0.1,16.8,584000,0.72,0,0,1.4740000000000002,0.2945205479452055
ACC-000044,Limerick,2024-08-19,00:05:00,52.56772332377288,-8.690230903202034,2,0,1,Urban,Darkness,2024-08-19 00:05:00,0,Monday,8,False,0,1.3,15.3,9.2,32.0,210000,0.5,1,1,5.1,0.7142857142857142
ACC-000045,Kilkenny,2024-08-19,02:23:00,52.681663146303,-7.188643709902298,3,2,1,Motorway,Daylight,2024-08-19 02:23:00,2,Monday,8,False,0,2.3500000000000005,15.1,2.9,34.9,103000,0.4,1,1,2.352,1.3592233009708736
ACC-000046,Limerick,2024-11-13,02:40:00,52.65302331517012,-8.610957912267443,3,2,1,Urban,Darkness,2024-11-13 02:40:00,2,Wednesday,11,False,0,2.3500000000000005,6.6,0.0,10.1,210000,0.5,0,0,1.153,0.7142857142857142
ACC-000047,Limerick,2025-09-22,00:00:00,52.58601166031551,-8.745274831795426,1,2,1,Rural,Daylight,2025-09-22 00:00:00,0,Monday,9,False,0,1.25,8.5,0.0,10.3,210000,0.5,0,0,0.6839999999999999,0.7142857142857142
ACC-000048,Kilkenny,2025-11-26,22:07:00,52.64995172391643,-7.136513128834448,3,3,3,Rural,Darkness,2025-11-26 22:07:00,22,Wednesday,11,False,0,3.0000000000000004,8.7,1.2,20.7,103000,0.4,1,0,1.4860000000000002,1.3592233009708736
ACC-000049,Dublin,2025-06-09,17:03:00,53.45304618986996,-6.370874521230164,1,0,3,Urban,Daylight,2025-06-09 17:03:00,17,Monday,6,False,1,1.1500000000000001,13.8,2.2,27.5,1453000,1.0,1,1,1.815,0.13764624913971094
ACC-000050,Dublin,2023-08-28,21:27:00,53.31776598569759,-6.345880192903175,2,2,1,Urban,Darkness,2023-08-28 21:27:00,21,Monday,8,False,0,1.8,14.9,0.4,21.8,1453000,1.0,0,0,0.8340000000000001,0.13764624913971094
ACC-000051,Limerick,2025-08-13,13:26:00,52.57518853098926,-8.541322206674241,1,2,2,Rural,Darkness,2025-08-13 13:26:00,13,Wednesday,8,False,0,1.4500000000000002,17.3,2.9,12.7,210000,0.5,1,0,1.686,0.7142857142857142
ACC-000052,Dublin,2024-05-20,12:41:00,53.35396286810797,-6.247484752534634,1,3,3,Urban,Daylight,2024-05-20 12:41:00,12,Monday,5,False,0,1.9000000000000001,13.4,0.0,12.3,1453000,1.0,0,0,0.369,0.13764624913971094
ACC-000053,Limerick,2024-03-14,15:58:00,52.53942099384052,-8.716090729039168,1,0,1,Urban,Daylight,2024-03-14 15:58:00,15,Thursday,3,False,0,0.75,11.1,29.0,22.5,210000,0.5,1,0,13.725000000000001,0.7142857142857142
ACC-000054,Cork,2023-06-11,05:05:00,51.88143816971759,-8.46077394804677,2,2,1,Urban,Darkness,2023-06-11 05:05:00,5,Sunday,6,True,0,1.8,17.2,1.7,13.7,584000,0.72,1,0,1.176,0.2945205479452055
ACC-000055,Galway,2023-08-04,10:31:00,53.356692870396365,-9.049478385746143,1,3,2,Motorway,Daylight,2023-08-04 10:31:00,10,Friday,8,False,0,1.7000000000000002,13.5,6.2,20.4,292000,0.55,1,0,3.402,0.5308219178082193
ACC-000056,Galway,2023-10-22,19:14:00,53.33581722026676,-9.027477487421022,1,0,2,Urban,Daylight,2023-10-22 19:14:00,19,Sunday,10,True,0,0.9500000000000001,8.9,1.0,15.9,292000,0.55,0,0,1.202,0.5308219178082193
ACC-000057,Dublin,2025-03-11,07:03:00,53.26009635018637,-6.151191021614888,3,1,1,Urban,Daylight,2025-03-11 07:03:00,7,Tuesday,3,False,1,2.1,6.3,0.0,22.0,1453000,1.0,0,0,1.585,0.13764624913971094
ACC-000058,Dublin,2024-07-10,08:30:00,53.31622566283704,-6.223093583239976,3,4,3,Rural,Daylight,2024-07-10 08:30:00,8,Wednesday,7,False,1,3.2500000000000004,13.9,3.7,26.0,1453000,1.0,1,1,2.4450000000000003,0.13764624913971094
ACC-000059,Limerick,2024-01-01,00:40:00,52.62249766306616,-8.554874767327156,1,1,2,Motorway,Daylight,2024-01-01 00:40:00,0,Monday,1,False,0,1.2000000000000002,6.6,15.3,27.9,210000,0.5,1,1,8.572000000000001,0.7142857142857142
ACC-000060,Kilkenny,2025-05-27,23:39:00,52.74140273457624,-7.234281134655563,1,2,1,Urban,Daylight,2025-05-27 23:39:00,23,Tuesday,5,False,0,1.25,12.3,15.8,24.6,103000,0.4,1,0,7.848000000000001,1.3592233009708736
ACC-000061,Dublin,2023-12-02,04:14:00,53.38804825415907,-6.30340170540942,4,3,1,Rural,Daylight,2023-12-02 04:14:00,4,Saturday,12,True,0,3.1500000000000004,2.1,1.2,10.0,1453000,1.0,1,0,2.8150000000000004,0.13764624913971094
ACC-000062,Dublin,2023-10-22,05:50:00,53.33459734586312,-6.273034789710405,3,2,2,Urban,Daylight,2023-10-22 05:50:00,5,Sunday,10,True,0,2.5500000000000003,9.0,0.0,16.9,1453000,1.0,0,0,0.757,0.13764624913971094
ACC-000063,Galway,2025-08-22,08:55:00,53.39280439816386,-9.0637675336842,3,2,3,Motorway,Daylight,2025-08-22 08:55:00,8,Friday,8,False,1,2.7500000000000004,16.4,0.9,18.2,292000,0.55,0,0,0.951,0.5308219178082193
ACC-000064,Wexford,2024-02-25,08:34:00,52.33265917710087,-6.436556389720183,3,1,2,Rural,Daylight,2024-02-25 08:34:00,8,Sunday,2,True,1,2.3000000000000003,6.5,15.3,27.6,163000,0.46,1,1,8.588000000000001,0.8957055214723927
ACC-000065,Cork,2023-12-13,04:15:00,51.90977841524917,-8.591450180753204,1,0,2,Urban,Daylight,2023-12-13 04:15:00,4,Wednesday,12,False,0,0.9500000000000001,7.0,0.0,22.7,584000,0.72,0,0,1.431,0.2945205479452055
ACC-000066,Waterford,2024-07-29,15:42:00,52.24414895994183,-7.081023652972874,2,3,3,Rural,Darkness,2024-07-29 15:42:00,15,Monday,7,False,0,2.45,15.4,0.0,14.6,127000,0.44,0,0,0.438,1.1338582677165354
ACC-000067,Kilkenny,2024-05-19,20:04:00,52.60385219575489,-7.225964130535205,1,3,1,Motorway,Darkness,2024-05-19 20:04:00,20,Sunday,5,True,0,1.5,15.5,4.7,14.7,103000,0.4,1,0,2.556,1.3592233009708736
ACC-000068,Dublin,2025-06-18,17:58:00,53.27293584758925,-6.294188528516867,3,1,1,Urban,Darkness,2025-06-18 17:58:00,17,Wednesday,6,False,1,2.1,15.0,0.0,15.9,1453000,1.0,0,0,0.477,0.13764624913971094
ACC-000069,Cork,2023-12-23,23:14:00,51.860844747813786,-8.526529222648179,3,1,3,Motorway,Darkness,2023-12-23 23:14:00,23,Saturday,12,True,0,2.5,10.5,1.2,26.1,584000,0.72,1,1,1.323,0.2945205479452055
ACC-000070,Dublin,2023-03-02,08:57:00,53.26437593387606,-6.224594228196555,1,0,3,Rural,Darkness,2023-03-02 08:57:00,8,Thursday,3,False,1,1.1500000000000001,6.6,1.4,24.2,1453000,1.0,1,0,2.206,0.13764624913971094
ACC-000071,Kilkenny,2024-02-23,01:54:00,52.656026460438255,-7.223286924185712,1,2,1,Rural,Daylight,2024-02-23 01:54:00,1,Friday,2,False,0,1.25,3.6,0.1,20.8,103000,0.4,0,0,2.269,1.3592233009708736
ACC-000072,Cork,2025-02-05,21:36:00,51.99515621970071,-8.27165376379144,2,0,1,Urban,Daylight,2025-02-05 21:36:00,21,Wednesday,2,False,0,1.3,4.4,0.0,12.8,584000,0.72,0,0,1.7839999999999998,0.2945205479452055
ACC-000073,Cork,2023-05-06,06:32:00,51.92997044251717,-8.595152449585544,3,1,2,Rural,Darkness,2023-05-06 06:32:00,6,Saturday,5,True,0,2.3000000000000003,12.8,0.7,13.9,584000,0.72,0,0,0.732,0.2945205479452055
ACC-000074,Dublin,2025-04-28,09:32:00,53.35966344217864,-6.291537115957024,1,1,1,Urban,Daylight,2025-04-28 09:32:00,9,Monday,4,False,1,1.0,13.4,0.0,17.3,1453000,1.0,0,0,0.519,0.13764624913971094
ACC-000075,Cork,2023-04-01,01:21:00,51.909143766878216,-8.378598493053472,2,2,1,Urban,Darkness,2023-04-01 01:21:00,1,Saturday,4,True,0,1.8,8.9,0.0,28.2,584000,0.72,0,1,1.121,0.2945205479452055
ACC-000076,Waterford,2024-07-04,12:58:00,52.16236049964076,-7.071534653157958,1,1,1,Urban,Darkness,2024-07-04 12:58:00,12,Thursday,7,False,0,1.0,13.1,0.8,24.5,127000,0.44,0,0,1.095,1.1338582677165354
ACC-000077,Galway,2024-11-09,15:01:00,53.29166103735363,-8.866191817385275,1,0,2,Urban,Darkness,2024-11-09 15:01:00,15,Saturday,11,True,0,0.9500000000000001,13.3,1.3,17.5,292000,0.55,1,0,1.11,0.5308219178082193
ACC-000078,Kilkenny,2024-11-26,10:51:00,52.627975551623365,-7.283128253672958,1,2,1,Urban,Daylight,2024-11-26 10:51:00,10,Tuesday,11,False,0,1.25,2.4,0.0,13.6,103000,0.4,0,0,2.308,1.3592233009708736
ACC-000079,Limerick,2023-12-16,22:46:00,52.52869336256286,-8.69283640375335,3,2,3,Urban,Daylight,2023-12-16 22:46:00,22,Saturday,12,True,0,2.7500000000000004,10.9,0.4,20.5,210000,0.5,0,0,0.7949999999999999,0.7142857142857142
ACC-000080,Dublin,2025-12-14,10:15:00,53.287951176783736,-6.264856363297082,2,2,2,Urban,Daylight,2025-12-14 10:15:00,10,Sunday,12,True,0,2.0,12.6,14.8,28.6,1453000,1.0,1,1,7.518000000000001,0.13764624913971094
ACC-000081,Dublin,2025-12-05,07:29:00,53.39189981888538,-6.343106249123252,2,2,3,Urban,Daylight,2025-12-05 07:29:00,7,Friday,12,False,1,2.2,8.1,15.2,51.2,1453000,1.0,1,1,8.850999999999999,0.13764624913971094
ACC-000082,Galway,2023-02-02,07:24:00,53.2649292637846,-8.966558491412057,2,1,2,Urban,Daylight,2023-02-02 07:24:00,7,Thursday,2,False,1,1.75,10.0,0.7,33.1,292000,0.55,0,1,1.308,0.5308219178082193
ACC-000083,Limerick,2024-01-01,05:44:00,52.596627847483774,-8.590874902662183,1,1,1,Urban,Daylight,2024-01-01 05:44:00,5,Monday,1,False,0,1.0,6.6,15.3,27.9,210000,0.5,1,1,8.572000000000001,0.7142857142857142
ACC-000084,Dublin,2023-01-23,22:05:00,53.252607680336496,-6.440081484427268,1,1,2,Urban,Daylight,2023-01-23 22:05:00,22,Monday,1,False,0,1.2000000000000002,9.6,0.9,12.0,1453000,1.0,0,0,0.8650000000000001,0.13764624913971094
ACC-000085,Galway,2025-01-22,20:29:00,53.30167785432609,-9.086537335726856,1,2,3,Rural,Daylight,2025-01-22 20:29:00,20,Wednesday,1,False,0,1.6500000000000001,4.7,0.0,12.2,292000,0.55,0,0,1.6909999999999998,0.5308219178082193
ACC-000086,Kerry,2024-09-01,10:58:00,52.09924897613145,-9.498498454056218,2,3,3,Rural,Daylight,2024-09-01 10:58:00,10,Sunday,9,True,0,2.45,16.4,5.2,18.0,156000,0.42,1,0,2.8800000000000003,0.9102564102564101
ACC-000087,Dublin,2024-07-18,09:38:00,53.24278333221715,-6.253610313807156,1,1,3,Urban,Darkness,2024-07-18 09:38:00,9,Thursday,7,False,1,1.4000000000000001,17.3,3.8,20.6,1453000,1.0,1,0,2.328,0.13764624913971094
ACC-000088,Waterford,2023-11-27,17:49:00,52.26002319083612,-7.093876217848178,1,1,4,Rural,Daylight,2023-11-27 17:49:00,17,Monday,11,False,1,1.6,7.3,0.5,20.5,127000,0.44,0,0,1.515,1.1338582677165354
ACC-000089,Galway,2023-05-13,23:15:00,53.3243527997108,-9.055884364872684,2,1,3,Motorway,Darkness,2023-05-13 23:15:00,23,Saturday,5,True,0,1.9500000000000002,12.6,0.0,17.5,292000,0.55,0,0,0.525,0.5308219178082193
ACC-000090,Galway,2023-07-01,14:10:00,53.30137330887285,-9.02549882720534,1,0,1,Rural,Daylight,2023-07-01 14:10:00,14,Saturday,7,True,0,0.75,15.1,0.1,26.4,292000,0.55,0,1,0.837,0.5308219178082193
ACC-000091,Galway,2023-06-21,05:50:00,53.20567807035852,-9.029231607619971,2,1,1,Rural,Darkness,2023-06-21 05:50:00,5,Wednesday,6,False,0,1.55,16.6,0.2,17.2,292000,0.55,0,0,0.606,0.5308219178082193
ACC-000092,Galway,2023-10-21,18:43:00,53.25857500527663,-9.103031528646213,4,2,3,Urban,Daylight,2023-10-21 18:43:00,18,Saturday,10,True,1,3.3000000000000003,8.3,0.0,15.8,292000,0.55,0,0,0.8989999999999998,0.5308219178082193
ACC-000093,Dublin,2025-04-25,21:39:00,53.28143425993451,-6.298799289909233,1,1,2,Urban,Darkness,2025-04-25 21:39:00,21,Friday,4,False,0,1.2000000000000002,10.9,9.7,26.0,1453000,1.0,1,1,5.1450000000000005,0.13764624913971094
ACC-000094,Kerry,2023-09-24,05:20:00,52.15635503668196,-9.57630886843401,2,0,2,Rural,Darkness,2023-09-24 05:20:00,5,Sunday,9,True,0,1.5,15.5,10.2,27.4,156000,0.42,1,1,5.412,0.9102564102564101
ACC-000095,Kilkenny,2025-11-05,13:26:00,52.60043923723535,-7.270900960401843,1,0,1,Urban,Darkness,2025-11-05 13:26:00,13,Wednesday,11,False,0,0.75,13.6,5.0,19.3,103000,0.4,1,0,2.829,1.3592233009708736
ACC-000096,Dublin,2023-08-19,23:59:00,53.35766346956277,-6.231062042188573,3,4,2,Rural,Daylight,2023-08-19 23:59:00,23,Saturday,8,True,0,3.0500000000000003,18.9,2.7,59.3,1453000,1.0,1,1,2.9939999999999998,0.13764624913971094
ACC-000097,Cork,2023-01-12,14:34:00,51.90036513526627,-8.453313926839055,2,1,3,Urban,Daylight,2023-01-12 14:34:00,14,Thursday,1,False,0,1.9500000000000002,9.1,8.1,31.7,584000,0.72,1,1,4.821,0.2945205479452055
ACC-000098,Limerick,2023-02-21,08:01:00,52.66029532536848,-8.619981519734843,3,1,2,Urban,Daylight,2023-02-21 08:01:00,8,Tuesday,2,False,1,2.3000000000000003,9.3,3.2,20.3,210000,0.5,1,0,2.224,0.7142857142857142
ACC-000099,Dublin,2024-06-08,12:03:00,53.28932642302259,-6.202357385803502,2,1,2,Rural,Daylight,2024-06-08 12:03:00,12,Saturday,6,True,0,1.75,13.3,0.4,23.3,1453000,1.0,0,0,0.879,0.13764624913971094
ACC-000100,Dublin,2023-09-14,06:08:00,53.363333590370615,-6.184488031212136,1,0,2,Motorway,Darkness,2023-09-14 06:08:00,6,Thursday,9,False,0,0.9500000000000001,15.2,3.9,19.4,1453000,1.0,1,0,2.3369999999999997,0.13764624913971094
ACC-000101,Dublin,2024-03-25,03:56:00,53.24756042824338,-6.326942937823681,1,0,1,Urban,Daylight,2024-03-25 03:56:00,3,Monday,3,False,0,0.75,8.9,9.2,34.4,1453000,1.0,1,1,5.446999999999999,0.13764624913971094
ACC-000102,Dublin,2024-05-12,03:06:00,53.378532532311226,-6.38315136559409,4,2,1,Urban,Darkness,2024-05-12 03:06:00,3,Sunday,5,True,0,2.9000000000000004,15.2,0.1,19.1,1453000,1.0,0,0,0.6180000000000001,0.13764624913971094
ACC-000103,Waterford,2023-02-17,04:36:00,52.18267901330179,-7.104506433520414,3,4,2,Rural,Daylight,2023-02-17 04:36:00,4,Friday,2,False,0,3.0500000000000003,12.2,0.1,20.9,127000,0.44,0,0,0.6719999999999999,1.1338582677165354
ACC-000104,Cork,2023-03-09,10:11:00,51.9846781053938,-8.433246927429943,1,2,3,Urban,Daylight,2023-03-09 10:11:00,10,Thursday,3,False,0,1.6500000000000001,5.0,13.5,34.7,584000,0.72,1,1,8.366,0.2945205479452055
ACC-000105,Dublin,2023-02-10,22:04:00,53.46273049281224,-6.27387758371363,3,1,2,Urban,Daylight,2023-02-10 22:04:00,22,Friday,2,False,0,2.3000000000000003,8.4,0.0,28.5,1453000,1.0,0,1,1.255,0.13764624913971094
ACC-000106,Dublin,2024-01-29,03:10:00,53.36837720491455,-6.213136249117152,3,3,3,Urban,Daylight,2024-01-29 03:10:00,3,Monday,1,False,0,3.0000000000000004,6.1,16.8,22.1,1453000,1.0,1,0,9.198,0.13764624913971094
ACC-000107,Dublin,2024-02-21,02:09:00,53.42181837549556,-6.237151267443431,3,3,2,Urban,Daylight,2024-02-21 02:09:00,2,Wednesday,2,False,0,2.8000000000000003,10.6,4.1,38.7,1453000,1.0,1,1,3.0060000000000002,0.13764624913971094
